ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,CustomStdWidth,CustomStdHeight,CustomStdLength
7,2017,10,17,CNTRL,HOU,6,19,13,23
13,2015,7,18,CNTRL,CKG,49,1,1,1
9,2015,2,5,CNTRL,SDF,728,28,26,29
13,2015,4,7,CNTRL,SAN,661,37,26,38
16,2015,1,5,CNTRL,SHE,1700,40,30,50
16,2014,9,7,CNTRL,SAN,342,40,26,48
9,2017,5,7,CNTRL,YYZ,9,25,20,30
7,2016,4,18,CNTRL,CKG,522,1,1,1
7,2015,3,5,CNTRL,SDF,728,28,26,29
8,2014,9,5,CNTRL,SDF,728,28,26,29
9,2014,9,4,CNTRL,ATL,157,1,1,1
14,2016,2,9,CNTRL,BOS,3797,0,0,0
17,2017,2,5,CNTRL,SHA,2,31,11,52
9,2015,5,7,CNTRL,PHX,106,14,16,19
8,2016,8,9,CNTRL,SGN,12478,0,0,0
13,2014,10,17,CNTRL,HOU,1,12,1,14
7,2015,1,7,CNTRL,MKC,7,10,8,15
9,2017,3,8,CNTRL,SLC,75,51,41,66
7,2016,4,3,CNTRL,ONT,20,12,12,18
8,2015,11,17,CNTRL,HOU,4,8,1,12
7,2016,3,7,CNTRL,PHX,4,10,5,10
7,2016,1,9,CNTRL,BOS,3293,0,0,0
20,2015,6,3,CNTRL,STL,13605,40,42,48
7,2017,8,7,CNTRL,TPE,1,25,21,25
13,2016,3,9,CNTRL,DLC,10332,0,0,0
10,2015,3,7,CNTRL,MKC,7,10,8,15
8,2015,5,5,CNTRL,SHE,92,24,21,35
11,2015,11,17,CNTRL,SFO,11,7,9,5
7,2015,6,3,CNTRL,ONT,2,9,1,12
11,2017,3,18,CNTRL,CKG,28,53,46,85
8,2016,4,5,CNTRL,PHX,1221,28,38,42
9,2016,3,9,CNTRL,SGN,13247,0,0,0
7,2016,5,17,CNTRL,ELP,77,3,3,3
20,2017,4,5,CNTRL,SHA,4,44,12,64
9,2016,5,17,CNTRL,HOU,4,16,14,18
8,2014,8,5,CNTRL,SHE,92,25,21,35
9,2016,8,9,CNTRL,YUL,2586,0,0,0
46,2016,1,18,CNTRL,CKG,31,52,46,77
10,2015,4,3,CNTRL,SJU,25605,40,60,48
7,2015,7,9,CNTRL,EWR,8695,0,0,0
10,2018,1,5,CNTRL,SHA,9,44,12,64
8,2015,6,7,CNTRL,MKC,11,10,9,19
14,2015,7,17,CNTRL,SFO,7,7,9,5
7,2014,11,17,CNTRL,SFO,11,7,9,5
7,2017,6,17,CNTRL,ELP,4,7,6,9
8,2017,9,5,CNTRL,SIN,1,20,31,20
8,2017,3,8,CNTRL,SLC,77,51,41,66
12,2017,9,18,CNTRL,CKG,37,53,75,85
