ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
13,2015,10,18,CNTRL,CKG,85
19,2016,5,5,CNTRL,SIN,1
7,2015,7,18,CNTRL,KUB,160
16,2015,6,17,CNTRL,HOU,31
8,2015,12,17,CNTRL,HOU,44
8,2016,7,17,CNTRL,ELP,196
7,2017,12,18,CNTRL,CKG,187
7,2015,5,7,CNTRL,PEN,1
9,2016,1,5,CNTRL,SHE,200
7,2017,9,18,CNTRL,CKG,158
14,2015,9,7,CNTRL,PEN,1
9,2017,12,5,CNTRL,SZX,1
16,2015,6,18,CNTRL,CKG,441
13,2014,11,5,CNTRL,SDF,606
7,2014,12,18,CNTRL,CKG,164
14,2018,2,18,CNTRL,CKG,16
7,2015,3,3,CNTRL,BOS,4
8,2018,1,17,CNTRL,SIN,1
12,2016,8,17,CNTRL,ELP,68
7,2014,9,17,CNTRL,BUD,2
9,2015,9,7,CNTRL,YYZ,13
15,2015,1,17,CNTRL,HOU,110
13,2015,12,17,CNTRL,HOU,26
10,2017,5,17,CNTRL,SFO,2
11,2014,9,5,CNTRL,AMS,29
11,2015,1,5,CNTRL,SDF,606
22,2017,5,17,CNTRL,ELP,79
11,2015,4,5,CNTRL,SIN,4
20,2017,2,18,CNTRL,CKG,72
9,2016,4,5,CNTRL,SDF,4
13,2014,9,5,CNTRL,SIN,2
8,2017,7,17,CNTRL,ELP,205
25,2017,3,18,CNTRL,CKG,72
13,2016,2,5,CNTRL,SHE,3000
12,2015,3,18,CNTRL,KUB,67
7,2015,3,7,CNTRL,PHX,2
8,2016,4,18,CNTRL,CKG,634
14,2015,5,3,CNTRL,ONT,4
8,2015,4,7,CNTRL,PHX,106
8,2017,10,5,CNTRL,SDF,611
8,2015,4,8,CNTRL,ORD,146
8,2015,4,7,CNTRL,SAN,518
8,2016,4,3,CNTRL,MEM,7
8,2015,6,18,CNTRL,CKG,172
8,2015,11,18,CNTRL,KUB,32
9,2015,8,5,CNTRL,SIN,3
12,2017,7,18,CNTRL,KUB,32
11,2014,10,18,CNTRL,CKG,206
14,2015,3,17,CNTRL,HOU,44
9,2018,1,5,CNTRL,SHA,6
10,2014,10,17,CNTRL,HOU,55
9,2015,8,7,CNTRL,PHX,11
7,2015,2,18,CNTRL,CKG,46
7,2017,6,17,CNTRL,ELP,190
7,2014,12,5,CNTRL,AMS,15
14,2015,1,18,CNTRL,KUB,29
10,2017,7,17,CNTRL,ELP,82
66,2016,11,18,CNTRL,CKG,30
7,2017,8,5,CNTRL,SIN,7
9,2014,9,17,CNTRL,HOU,110
13,2017,2,5,CNTRL,SIN,2
9,2015,2,7,CNTRL,PHX,507
7,2017,5,7,CNTRL,PEN,8
9,2014,9,17,CNTRL,HOU,77
7,2016,4,3,CNTRL,ONT,2
13,2018,1,18,CNTRL,CKG,102
8,2016,4,17,CNTRL,SIN,1
7,2016,8,5,CNTRL,SDF,4
12,2015,1,3,CNTRL,ONT,4
8,2014,11,5,CNTRL,AMS,8
7,2016,1,5,CNTRL,SDF,9
84,2017,6,18,CNTRL,CKG,30
9,2017,5,5,CNTRL,SHA,2
19,2016,6,17,CNTRL,HOU,6
7,2014,8,18,CNTRL,CKG,38
38,2015,10,18,CNTRL,CKG,4
10,2015,12,5,CNTRL,SIN,2
26,2016,11,18,CNTRL,CKG,46
7,2014,10,7,CNTRL,PHX,11
30,2016,4,18,CNTRL,CKG,65
8,2017,4,17,CNTRL,ELP,20
7,2015,3,7,CNTRL,PHX,375
16,2017,8,17,CNTRL,ELP,46
170,2017,4,17,CNTRL,HOU,1
13,2015,3,18,CNTRL,CKG,13
7,2017,5,5,CNTRL,SIN,4
31,2016,10,18,CNTRL,CKG,90
15,2017,6,18,CNTRL,CKG,142
16,2015,11,18,CNTRL,CKG,36
16,2015,6,18,CNTRL,CKG,55
11,2014,8,5,CNTRL,SHE,92
34,2017,9,17,CNTRL,HOU,4
8,2016,5,18,CNTRL,HKG,11
12,2015,2,18,CNTRL,CKG,142
15,2017,6,17,CNTRL,ELP,64
9,2017,3,8,CNTRL,SLC,75
8,2017,11,5,CNTRL,SHA,6
8,2016,9,4,CNTRL,MTY,10650
19,2016,2,5,CNTRL,SIN,1
9,2016,8,17,CNTRL,ELP,53
22,2015,11,17,CNTRL,HOU,15
15,2016,10,5,CNTRL,SIN,1
9,2016,4,3,CNTRL,ONT,40
18,2015,9,7,CNTRL,YYZ,2
10,2017,1,17,CNTRL,ELP,75
18,2014,12,18,CNTRL,CKG,83
17,2017,2,18,CNTRL,CKG,63
25,2015,10,5,CNTRL,AMS,1
7,2014,11,5,CNTRL,SDF,7
15,2015,11,18,CNTRL,KUB,6
9,2015,8,17,CNTRL,HOU,57
9,2016,11,4,CNTRL,SIN,1650
15,2014,12,7,CNTRL,PEN,2
7,2016,12,17,CNTRL,ELP,33
7,2016,5,8,CNTRL,ORD,163
11,2015,10,5,CNTRL,SDF,606
8,2014,11,5,CNTRL,SIN,3
21,2015,8,5,CNTRL,SDF,496
11,2016,8,17,CNTRL,HOU,17
7,2017,12,5,CNTRL,SDF,485
12,2016,4,9,CNTRL,DLC,10860
7,2017,1,17,CNTRL,ELP,267
15,2017,2,17,CNTRL,ELP,4
9,2016,10,17,CNTRL,ELP,71
7,2015,4,7,CNTRL,SBN,110
28,2017,6,18,CNTRL,CKG,67
54,2017,1,5,CNTRL,SHA,3
17,2016,10,17,CNTRL,HOU,6
10,2015,7,5,CNTRL,AMS,15
8,2017,5,5,CNTRL,SDF,573
14,2015,3,3,CNTRL,STL,14462
20,2016,6,18,CNTRL,CKG,25
8,2018,2,7,CNTRL,PEN,4
11,2016,9,5,CNTRL,AMS,1
18,2017,2,18,CNTRL,CKG,149
10,2018,2,18,CNTRL,CKG,122
10,2016,11,5,CNTRL,SHA,9
7,2017,10,17,CNTRL,HOU,25
9,2014,12,17,CNTRL,HOU,143
60,2016,12,18,CNTRL,CKG,48
10,2014,11,18,CNTRL,CKG,142
22,2015,3,17,CNTRL,HOU,31
7,2015,9,8,CNTRL,ORD,152
8,2017,12,5,CNTRL,SHA,9
10,2014,10,5,CNTRL,AMS,6
13,2016,10,7,CNTRL,YYZ,2
36,2016,8,17,CNTRL,HOU,5
