ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
8,2015,5,5,CNTRL,SHE,1500
9,2015,5,5,CNTRL,AMS,3
9,2015,5,5,CNTRL,AMS,4
10,2015,5,5,CNTRL,SHE,3000
11,2015,5,5,CNTRL,SDF,728
15,2015,5,5,CNTRL,AMS,2
15,2015,5,5,CNTRL,SIN,1
17,2015,5,5,CNTRL,SHE,92
20,2015,5,5,CNTRL,SIN,2
22,2015,5,5,CNTRL,SDF,496
23,2015,5,5,CNTRL,AMS,1
7,2015,4,5,CNTRL,BOM,1673
7,2015,4,5,CNTRL,SDF,11
7,2015,4,5,CNTRL,SDF,485
7,2015,4,5,CNTRL,SDF,595
7,2015,4,5,CNTRL,SDF,1781
8,2015,4,5,CNTRL,AMS,14
8,2015,4,5,CNTRL,SIN,2
9,2015,4,5,CNTRL,AMS,4
9,2015,4,5,CNTRL,SDF,728
9,2015,4,5,CNTRL,SHE,2
11,2015,4,5,CNTRL,AMS,5
11,2015,4,5,CNTRL,SIN,4
13,2015,4,5,CNTRL,SHE,1
14,2015,4,5,CNTRL,AMS,2
15,2015,4,5,CNTRL,SIN,3
17,2015,4,5,CNTRL,AMS,3
17,2015,4,5,CNTRL,SIN,2
20,2015,4,5,CNTRL,AMS,1
20,2015,4,5,CNTRL,SDF,496
39,2015,4,5,CNTRL,SIN,1
7,2015,3,5,CNTRL,AMS,6
7,2015,3,5,CNTRL,AMS,104
8,2015,3,5,CNTRL,AMS,7
8,2015,3,5,CNTRL,AMS,12
8,2015,3,5,CNTRL,AMS,15
8,2015,3,5,CNTRL,AMS,40
8,2015,3,5,CNTRL,AMS,99
8,2015,3,5,CNTRL,SHE,86
8,2015,3,5,CNTRL,SHE,1700
9,2015,3,5,CNTRL,AMS,4
9,2015,3,5,CNTRL,AMS,5
9,2015,3,5,CNTRL,SDF,4
9,2015,3,5,CNTRL,SFO,106
9,2015,3,5,CNTRL,SHE,88
9,2015,3,5,CNTRL,SIN,4
10,2015,3,5,CNTRL,AMS,3
10,2015,3,5,CNTRL,SDF,2
10,2015,3,5,CNTRL,SDF,728
11,2015,3,5,CNTRL,SDF,573
11,2015,3,5,CNTRL,SHE,87
12,2015,3,5,CNTRL,AMS,2
13,2015,3,5,CNTRL,SIN,1
13,2015,3,5,CNTRL,SIN,3
14,2015,3,5,CNTRL,SDF,496
16,2015,3,5,CNTRL,SHE,3000
19,2015,3,5,CNTRL,AMS,1
7,2015,2,5,CNTRL,AMS,4
7,2015,2,5,CNTRL,AMS,6
7,2015,2,5,CNTRL,AMS,104
7,2015,2,5,CNTRL,SIN,2
8,2015,2,5,CNTRL,SIN,3
9,2015,2,5,CNTRL,SDF,7
9,2015,2,5,CNTRL,SIN,4
10,2015,2,5,CNTRL,SDF,728
11,2015,2,5,CNTRL,SDF,496
13,2015,2,5,CNTRL,SHE,92
15,2015,2,5,CNTRL,AMS,2
16,2015,2,5,CNTRL,SFO,110
17,2015,2,5,CNTRL,AMS,3
17,2015,2,5,CNTRL,SIN,1
19,2015,2,5,CNTRL,AMS,1
7,2015,1,5,CNTRL,AMS,6
7,2015,1,5,CNTRL,BOS,344
7,2015,1,5,CNTRL,SDF,2
8,2015,1,5,CNTRL,SDF,7
8,2015,1,5,CNTRL,SIN,2
9,2015,1,5,CNTRL,AMS,8
9,2015,1,5,CNTRL,SHE,200
10,2015,1,5,CNTRL,SIN,1
11,2015,1,5,CNTRL,SDF,606
12,2015,1,5,CNTRL,SDF,4
12,2015,1,5,CNTRL,SIN,3
13,2015,1,5,CNTRL,AMS,2
15,2015,1,5,CNTRL,SDF,496
16,2015,1,5,CNTRL,SHE,1700
16,2015,1,5,CNTRL,SHE,3000
18,2015,1,5,CNTRL,AMS,3
20,2015,1,5,CNTRL,AMS,1
7,2016,12,5,CNTRL,MIL,240
7,2016,12,5,CNTRL,SIN,6
11,2016,12,5,CNTRL,SDF,728
11,2016,12,5,CNTRL,SIN,2
13,2016,12,5,CNTRL,SDF,496
13,2016,12,5,CNTRL,SIN,4
14,2016,12,5,CNTRL,SHA,1
14,2016,12,5,CNTRL,SHE,200
15,2016,12,5,CNTRL,SIN,7
20,2016,12,5,CNTRL,SHA,2
21,2016,12,5,CNTRL,SHA,5
24,2016,12,5,CNTRL,SIN,1
29,2016,12,5,CNTRL,SHA,4
35,2016,12,5,CNTRL,SIN,3
52,2016,12,5,CNTRL,SHA,3
7,2016,11,5,CNTRL,MIL,240
7,2016,11,5,CNTRL,SDF,573
7,2016,11,5,CNTRL,SDF,578
7,2016,11,5,CNTRL,SDF,608
7,2016,11,5,CNTRL,SDF,728
9,2016,11,5,CNTRL,SDF,496
9,2016,11,5,CNTRL,SDF,569
9,2016,11,5,CNTRL,SHA,8
10,2016,11,5,CNTRL,SHA,9
11,2016,11,5,CNTRL,SDF,333
11,2016,11,5,CNTRL,SDF,476
11,2016,11,5,CNTRL,SIN,4
12,2016,11,5,CNTRL,SDF,337
12,2016,11,5,CNTRL,SDF,485
13,2016,11,5,CNTRL,SHA,5
13,2016,11,5,CNTRL,SIN,2
14,2016,11,5,CNTRL,AMS,1
14,2016,11,5,CNTRL,SHA,1
17,2016,11,5,CNTRL,AMS,2
30,2016,11,5,CNTRL,SIN,3
34,2016,11,5,CNTRL,SIN,1
50,2016,11,5,CNTRL,SHA,4
83,2016,11,5,CNTRL,SHA,2
134,2016,11,5,CNTRL,SHA,3
7,2016,10,5,CNTRL,SDF,562
7,2016,10,5,CNTRL,SDF,569
7,2016,10,5,CNTRL,SDF,573
7,2016,10,5,CNTRL,SDF,584
10,2016,10,5,CNTRL,SDF,2
10,2016,10,5,CNTRL,SIN,3
11,2016,10,5,CNTRL,AMS,1
13,2016,10,5,CNTRL,SDF,485
15,2016,10,5,CNTRL,SIN,1
18,2016,10,5,CNTRL,SHA,4
24,2016,10,5,CNTRL,SHA,2
25,2016,10,5,CNTRL,SHA,3
7,2016,9,5,CNTRL,AMS,4
7,2016,9,5,CNTRL,SHE,3
8,2016,9,5,CNTRL,SDF,728
8,2016,9,5,CNTRL,SIN,4
9,2016,9,5,CNTRL,SDF,606
11,2016,9,5,CNTRL,AMS,1
11,2016,9,5,CNTRL,SDF,485
15,2016,9,5,CNTRL,SIN,2
19,2016,9,5,CNTRL,SDF,496
29,2016,9,5,CNTRL,SIN,1
40,2016,9,5,CNTRL,SIN,3
7,2016,8,5,CNTRL,PHX,1239
7,2016,8,5,CNTRL,SDF,4
7,2016,8,5,CNTRL,SDF,745
8,2016,8,5,CNTRL,AMS,6
8,2016,8,5,CNTRL,PHX,1246
8,2016,8,5,CNTRL,PHX,1268
10,2016,8,5,CNTRL,PHX,1241
12,2016,8,5,CNTRL,AMS,2
12,2016,8,5,CNTRL,PHX,1257
12,2016,8,5,CNTRL,SDF,496
13,2016,8,5,CNTRL,SIN,4
15,2016,8,5,CNTRL,SIN,2
16,2016,8,5,CNTRL,AMS,1
18,2016,8,5,CNTRL,SHA,2
18,2016,8,5,CNTRL,SHA,4
22,2016,8,5,CNTRL,SIN,3
27,2016,8,5,CNTRL,SHA,3
38,2016,8,5,CNTRL,SIN,1
7,2016,7,5,CNTRL,SDF,11
11,2016,7,5,CNTRL,SDF,496
12,2016,7,5,CNTRL,AMS,1
12,2016,7,5,CNTRL,AMS,3
13,2016,7,5,CNTRL,SIN,1
15,2016,7,5,CNTRL,PHX,1213
24,2016,7,5,CNTRL,AMS,2
7,2016,6,5,CNTRL,PHX,1232
7,2016,6,5,CNTRL,PHX,1248
7,2016,6,5,CNTRL,SDF,9
7,2016,6,5,CNTRL,SDF,26
7,2016,6,5,CNTRL,SDF,573
7,2016,6,5,CNTRL,SIN,2
8,2016,6,5,CNTRL,AMS,11
8,2016,6,5,CNTRL,PHX,1246
8,2016,6,5,CNTRL,SDF,22
8,2016,6,5,CNTRL,SDF,485
9,2016,6,5,CNTRL,AMS,4
9,2016,6,5,CNTRL,PHX,1219
11,2016,6,5,CNTRL,SIN,4
13,2016,6,5,CNTRL,AMS,2
13,2016,6,5,CNTRL,SDF,496
15,2016,6,5,CNTRL,AMS,1
24,2016,6,5,CNTRL,SIN,3
25,2016,6,5,CNTRL,SIN,1
26,2016,6,5,CNTRL,PHX,1213
7,2016,5,5,CNTRL,SIN,3
8,2016,5,5,CNTRL,SDF,2
8,2016,5,5,CNTRL,SDF,4
8,2016,5,5,CNTRL,SIN,4
9,2016,5,5,CNTRL,AMS,3
11,2016,5,5,CNTRL,SDF,22
12,2016,5,5,CNTRL,AMS,2
12,2016,5,5,CNTRL,SIN,2
13,2016,5,5,CNTRL,SHE,92
15,2016,5,5,CNTRL,AMS,1
19,2016,5,5,CNTRL,SIN,1
27,2016,5,5,CNTRL,SDF,496
7,2016,4,5,CNTRL,AMS,8
7,2016,4,5,CNTRL,BOS,507
7,2016,4,5,CNTRL,KUB,118
7,2016,4,5,CNTRL,POU,12831
7,2016,4,5,CNTRL,SDF,7
7,2016,4,5,CNTRL,SDF,11
7,2016,4,5,CNTRL,SDF,485
7,2016,4,5,CNTRL,SHE,200
7,2016,4,5,CNTRL,SHE,3000
