ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
15,2015,11,18,CNTRL,CKG,67
58,2016,9,18,CNTRL,CKG,2
8,2017,8,5,CNTRL,KUB,11
19,2016,6,18,CNTRL,CKG,23
8,2016,3,18,CNTRL,KUB,83
26,2015,2,18,CNTRL,HKG,1
26,2017,8,18,CNTRL,CKG,49
7,2015,4,7,CNTRL,PHX,49
7,2015,2,18,CNTRL,CKG,71
10,2015,11,3,CNTRL,ONT,11
7,2017,11,7,CNTRL,PEN,2
11,2018,2,18,CNTRL,CKG,17
10,2017,9,18,CNTRL,CKG,112
13,2015,4,18,CNTRL,CKG,55
9,2015,8,18,CNTRL,KUB,99
9,2016,1,7,CNTRL,YYZ,9
51,2017,10,18,CNTRL,CKG,32
7,2016,11,18,CNTRL,CKG,1029
24,2015,4,18,CNTRL,CKG,68
7,2017,10,18,CNTRL,CKG,127
9,2018,2,18,CNTRL,CKG,22
144,2017,5,17,CNTRL,ELP,2
8,2016,12,18,CNTRL,CKG,153
12,2014,10,18,CNTRL,CKG,130
7,2014,9,3,CNTRL,ONT,2
35,2014,12,18,CNTRL,CKG,17
8,2014,11,18,CNTRL,CKG,67
71,2017,11,18,CNTRL,CKG,48
8,2015,9,18,CNTRL,CKG,55
11,2017,3,18,CNTRL,KUB,57
10,2017,11,18,CNTRL,CKG,215
8,2016,10,17,CNTRL,ELP,141
41,2017,9,18,CNTRL,CKG,38
43,2015,11,17,CNTRL,HOU,11
240,2016,12,18,CNTRL,CKG,3
38,2016,5,18,CNTRL,CKG,45
18,2016,11,17,CNTRL,HOU,7
7,2017,7,18,CNTRL,CKG,309
14,2017,10,5,CNTRL,SHA,3
7,2015,4,18,CNTRL,KUB,78
26,2016,12,18,CNTRL,CKG,9
12,2015,6,18,CNTRL,CKG,141
7,2017,11,17,CNTRL,SIN,37
7,2015,2,18,CNTRL,CKG,10
43,2018,1,18,CNTRL,CKG,72
54,2015,3,18,CNTRL,CKG,31
12,2018,2,5,CNTRL,SDF,485
22,2017,6,18,CNTRL,CKG,92
26,2018,1,17,CNTRL,HOU,4
8,2016,9,17,CNTRL,ELP,71
26,2016,1,18,CNTRL,CKG,40
7,2016,10,17,CNTRL,ELP,229
19,2017,2,18,CNTRL,CKG,62
14,2015,7,18,CNTRL,CKG,93
16,2017,11,18,CNTRL,KUB,28
7,2017,6,17,CNTRL,ELP,190
21,2015,10,18,CNTRL,CKG,66
69,2017,1,18,CNTRL,CKG,2
9,2015,3,8,CNTRL,ORD,150
9,2015,7,18,CNTRL,CKG,131
7,2015,12,18,CNTRL,KUB,45
8,2017,7,17,CNTRL,ELP,33
12,2014,8,18,CNTRL,KUB,50
8,2016,7,18,CNTRL,CKG,77
9,2017,6,18,CNTRL,CKG,167
9,2015,6,18,CNTRL,CKG,122
11,2015,1,18,CNTRL,CKG,87
8,2014,10,18,CNTRL,CKG,243
7,2014,12,18,CNTRL,CKG,573
32,2017,9,18,CNTRL,CKG,51
34,2015,3,17,CNTRL,SFO,4
13,2016,12,18,CNTRL,CKG,53
