ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
8,2014,11,18,CNTRL,CKG,125
17,2016,8,18,CNTRL,CKG,57
12,2015,1,3,CNTRL,ONT,4
53,2017,2,17,CNTRL,HOU,2
9,2017,1,18,CNTRL,CKG,160
14,2017,3,18,CNTRL,CKG,77
9,2017,6,17,CNTRL,ELP,75
12,2018,2,18,CNTRL,CKG,112
8,2017,4,5,CNTRL,SIN,12
11,2015,5,17,CNTRL,HOU,20
11,2017,9,18,CNTRL,CKG,82
17,2014,10,18,CNTRL,CKG,64
9,2016,11,18,CNTRL,CKG,123
212,2017,2,18,CNTRL,CKG,3
53,2014,12,17,CNTRL,HOU,9
42,2016,10,17,CNTRL,HOU,4
11,2015,11,7,CNTRL,PHX,2
7,2015,6,18,CNTRL,CKG,108
7,2016,10,18,CNTRL,HKG,7
62,2017,3,18,CNTRL,HKG,1
9,2016,10,18,CNTRL,ELP,110
8,2015,7,18,CNTRL,CKG,194
11,2016,5,18,CNTRL,CKG,523
7,2015,11,5,CNTRL,SDF,4
12,2014,8,18,CNTRL,KUB,4
47,2014,10,18,CNTRL,CKG,33
9,2016,1,7,CNTRL,YYZ,9
7,2016,12,5,CNTRL,MIL,240
8,2015,1,18,CNTRL,CKG,2690
11,2016,9,5,CNTRL,SDF,485
9,2015,8,5,CNTRL,AMS,4
30,2016,8,18,CNTRL,HKG,2
56,2014,12,17,CNTRL,HOU,2
14,2016,11,5,CNTRL,AMS,1
10,2017,8,5,CNTRL,CLT,7
7,2017,1,17,CNTRL,ELP,419
8,2015,1,18,CNTRL,KUB,51
8,2017,12,5,CNTRL,SHA,9
75,2014,12,18,CNTRL,CKG,6
10,2015,1,18,CNTRL,KUB,55
8,2014,12,18,CNTRL,CKG,115
15,2015,1,18,CNTRL,CKG,68
8,2015,3,18,CNTRL,CKG,285
53,2017,7,18,CNTRL,CKG,33
8,2015,12,18,CNTRL,CKG,913
7,2016,6,5,CNTRL,SDF,26
18,2015,1,18,CNTRL,CKG,9
8,2015,7,18,CNTRL,CKG,108
31,2018,1,18,CNTRL,CKG,41
28,2016,9,18,CNTRL,KUB,28
18,2017,1,5,CNTRL,SIN,3
14,2015,10,5,CNTRL,SIN,4
8,2017,1,5,CNTRL,SHE,3000
9,2015,11,18,CNTRL,CKG,90
23,2016,11,18,CNTRL,CKG,52
9,2015,7,18,CNTRL,KUB,94
7,2016,1,18,CNTRL,CKG,103
12,2017,9,17,CNTRL,ELP,35
15,2017,8,18,CNTRL,CKG,111
19,2017,8,18,CNTRL,CKG,107
8,2015,9,18,CNTRL,CKG,55
20,2016,8,18,CNTRL,CKG,125
12,2015,6,18,CNTRL,KUB,3
34,2018,1,18,CNTRL,CKG,49
10,2016,5,18,CNTRL,CKG,103
8,2015,6,18,CNTRL,CKG,56
15,2016,10,18,CNTRL,CKG,16
7,2017,12,18,CNTRL,CKG,196
8,2016,4,3,CNTRL,ONT,49
7,2016,1,18,CNTRL,CKG,146
14,2016,2,18,CNTRL,CKG,25
7,2018,1,18,CNTRL,CKG,230
9,2017,6,17,CNTRL,ELP,97
37,2016,11,18,CNTRL,CKG,44
8,2015,5,18,CNTRL,CKG,159
23,2014,12,18,CNTRL,CKG,91
36,2017,2,18,CNTRL,CKG,27
13,2016,1,17,CNTRL,HOU,33
17,2015,7,18,CNTRL,CKG,53
11,2018,2,18,CNTRL,CKG,99
13,2015,8,18,CNTRL,CKG,42
56,2017,3,18,CNTRL,CKG,7
206,2015,12,18,CNTRL,CKG,3
13,2016,3,18,CNTRL,CKG,80
12,2015,4,18,CNTRL,CKG,20
7,2016,2,18,CNTRL,CKG,22
7,2015,10,18,CNTRL,KUB,61
11,2015,8,18,CNTRL,CKG,37
9,2016,5,18,CNTRL,KUB,40
17,2015,2,5,CNTRL,AMS,3
7,2016,11,18,CNTRL,CKG,250
59,2016,8,18,CNTRL,CKG,7
22,2017,1,18,CNTRL,CKG,40
18,2016,10,5,CNTRL,SHA,4
7,2016,6,18,CNTRL,KUB,49
11,2015,2,18,CNTRL,CKG,353
62,2016,3,18,CNTRL,CKG,34
9,2014,8,7,CNTRL,PEN,1
11,2017,3,18,CNTRL,KUB,45
10,2015,7,18,CNTRL,CKG,18
11,2014,9,7,CNTRL,PHX,9
17,2016,5,18,CNTRL,CKG,70
14,2017,6,17,CNTRL,ELP,44
10,2015,3,18,CNTRL,CKG,163
9,2016,12,17,CNTRL,HOU,15
21,2015,12,5,CNTRL,AMS,1
12,2014,12,18,CNTRL,KUB,68
35,2017,11,18,CNTRL,CKG,40
8,2017,11,5,CNTRL,SZX,1
15,2015,7,18,CNTRL,CKG,497
15,2016,2,18,CNTRL,CKG,72
7,2014,9,18,CNTRL,ELP,86
19,2017,4,18,CNTRL,CKG,10
20,2015,5,18,CNTRL,KUB,10
15,2016,4,18,CNTRL,CKG,156
9,2016,2,17,CNTRL,HOU,44
8,2017,9,18,CNTRL,CKG,234
43,2016,3,18,CNTRL,CKG,40
17,2014,12,17,CNTRL,HOU,24
34,2015,6,17,CNTRL,HOU,9
8,2017,4,18,CNTRL,CKG,100
23,2014,10,18,CNTRL,CKG,74
11,2015,2,5,CNTRL,SDF,496
39,2015,1,17,CNTRL,HOU,9
14,2015,8,18,CNTRL,CKG,34
17,2015,10,18,CNTRL,CKG,53
8,2016,5,9,CNTRL,BOS,1
13,2016,8,18,CNTRL,CKG,107
7,2016,8,18,CNTRL,HKG,13
7,2015,4,18,CNTRL,CKG,81
